M,N,perFactorN,K,c,rho,mode,nonLoaderFrac,retention,R,rec85,rec90,rec95,rec90_lo,rec90_hi,meanEstK
20,45,12,3,0.4,0,free,0.2,oracle,500,0.726,0.268,0.000,0.231,0.308,3.00
20,45,12,3,0.4,0,free,0.2,pa,500,0.488,0.174,0.000,0.143,0.210,4.18
20,45,12,3,0.4,0.4,free,0.2,oracle,500,0.470,0.138,0.000,0.111,0.171,3.00
20,45,12,3,0.4,0.4,free,0.2,pa,500,0.222,0.064,0.002,0.046,0.089,3.68
20,45,12,3,0.6,0,free,0.2,oracle,500,0.986,0.978,0.484,0.961,0.988,3.00
20,45,12,3,0.6,0,free,0.2,pa,500,0.876,0.876,0.470,0.844,0.902,2.94
20,45,12,3,0.6,0.4,free,0.2,oracle,500,0.926,0.900,0.420,0.871,0.923,3.00
20,45,12,3,0.6,0.4,free,0.2,pa,500,0.474,0.462,0.230,0.419,0.506,2.57
20,45,12,3,0.8,0,free,0.2,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
20,45,12,3,0.8,0,free,0.2,pa,500,0.946,0.944,0.942,0.920,0.961,2.95
20,45,12,3,0.8,0.4,free,0.2,oracle,500,0.968,0.966,0.956,0.946,0.979,3.00
20,45,12,3,0.8,0.4,free,0.2,pa,500,0.646,0.644,0.638,0.601,0.685,2.61
40,12,4,3,0.4,0,forced,0,oracle,500,0.038,0.000,0.000,0.000,0.008,3.00
40,12,4,3,0.4,0,forced,0,pa,500,0.046,0.000,0.000,0.000,0.008,2.68
40,12,4,3,0.4,0.4,forced,0,oracle,500,0.044,0.000,0.000,0.000,0.008,3.00
40,12,4,3,0.4,0.4,forced,0,pa,500,0.006,0.000,0.000,0.000,0.008,1.89
40,12,4,3,0.6,0,forced,0,oracle,500,0.990,0.540,0.000,0.496,0.583,3.00
40,12,4,3,0.6,0,forced,0,pa,500,0.938,0.494,0.000,0.450,0.538,2.96
40,12,4,3,0.6,0.4,forced,0,oracle,500,0.990,0.564,0.000,0.520,0.607,3.00
40,12,4,3,0.6,0.4,forced,0,pa,500,0.386,0.222,0.000,0.188,0.260,2.26
40,12,4,3,0.8,0,forced,0,oracle,500,1.000,1.000,0.846,0.992,1.000,3.00
40,12,4,3,0.8,0,forced,0,pa,500,0.996,0.996,0.844,0.986,0.999,3.00
40,12,4,3,0.8,0.4,forced,0,oracle,500,1.000,1.000,0.886,0.992,1.000,3.00
40,12,4,3,0.8,0.4,forced,0,pa,500,0.620,0.620,0.534,0.577,0.661,2.59
40,12,4,3,0.4,0,free,0,oracle,500,0.028,0.000,0.000,0.000,0.008,3.00
40,12,4,3,0.4,0,free,0,pa,500,0.014,0.000,0.000,0.000,0.008,2.71
40,12,4,3,0.4,0.4,free,0,oracle,500,0.020,0.000,0.000,0.000,0.008,3.00
40,12,4,3,0.4,0.4,free,0,pa,500,0.002,0.000,0.000,0.000,0.008,1.83
40,12,4,3,0.6,0,free,0,oracle,500,0.958,0.280,0.000,0.242,0.321,3.00
40,12,4,3,0.6,0,free,0,pa,500,0.924,0.280,0.000,0.242,0.321,2.95
40,12,4,3,0.6,0.4,free,0,oracle,500,0.946,0.334,0.000,0.294,0.376,3.00
40,12,4,3,0.6,0.4,free,0,pa,500,0.398,0.134,0.000,0.107,0.167,2.28
40,12,4,3,0.8,0,free,0,oracle,500,1.000,1.000,0.428,0.992,1.000,3.00
40,12,4,3,0.8,0,free,0,pa,500,0.984,0.984,0.466,0.969,0.992,2.98
40,12,4,3,0.8,0.4,free,0,oracle,500,1.000,1.000,0.476,0.992,1.000,3.00
40,12,4,3,0.8,0.4,free,0,pa,500,0.668,0.668,0.326,0.626,0.708,2.62
40,15,4,3,0.4,0,forced,0.2,oracle,500,0.034,0.000,0.000,0.000,0.008,3.00
40,15,4,3,0.4,0,forced,0.2,pa,500,0.016,0.000,0.000,0.000,0.008,2.66
40,15,4,3,0.4,0.4,forced,0.2,oracle,500,0.006,0.000,0.000,0.000,0.008,3.00
40,15,4,3,0.4,0.4,forced,0.2,pa,500,0.002,0.000,0.000,0.000,0.008,1.91
40,15,4,3,0.6,0,forced,0.2,oracle,500,0.968,0.402,0.000,0.360,0.446,3.00
40,15,4,3,0.6,0,forced,0.2,pa,500,0.912,0.426,0.000,0.383,0.470,2.94
40,15,4,3,0.6,0.4,forced,0.2,oracle,500,0.806,0.360,0.000,0.319,0.403,3.00
40,15,4,3,0.6,0.4,forced,0.2,pa,500,0.382,0.176,0.000,0.145,0.212,2.28
40,15,4,3,0.8,0,forced,0.2,oracle,500,1.000,1.000,0.860,0.992,1.000,3.00
40,15,4,3,0.8,0,forced,0.2,pa,500,0.994,0.994,0.850,0.983,0.998,2.99
40,15,4,3,0.8,0.4,forced,0.2,oracle,500,0.946,0.940,0.724,0.916,0.958,3.00
40,15,4,3,0.8,0.4,forced,0.2,pa,500,0.582,0.582,0.466,0.538,0.624,2.55
40,15,4,3,0.4,0,free,0.2,oracle,500,0.016,0.000,0.000,0.000,0.008,3.00
40,15,4,3,0.4,0,free,0.2,pa,500,0.008,0.000,0.000,0.000,0.008,2.55
40,15,4,3,0.4,0.4,free,0.2,oracle,500,0.004,0.000,0.000,0.000,0.008,3.00
40,15,4,3,0.4,0.4,free,0.2,pa,500,0.000,0.000,0.000,0.000,0.008,1.73
40,15,4,3,0.6,0,free,0.2,oracle,500,0.926,0.254,0.000,0.218,0.294,3.00
40,15,4,3,0.6,0,free,0.2,pa,500,0.844,0.238,0.000,0.203,0.277,2.93
40,15,4,3,0.6,0.4,free,0.2,oracle,500,0.758,0.176,0.000,0.145,0.212,3.00
40,15,4,3,0.6,0.4,free,0.2,pa,500,0.272,0.064,0.000,0.046,0.089,2.08
40,15,4,3,0.8,0,free,0.2,oracle,500,0.998,0.998,0.452,0.989,1.000,3.00
40,15,4,3,0.8,0,free,0.2,pa,500,0.978,0.978,0.406,0.961,0.988,2.98
40,15,4,3,0.8,0.4,free,0.2,oracle,500,0.944,0.934,0.320,0.909,0.953,3.00
40,15,4,3,0.8,0.4,free,0.2,pa,500,0.548,0.548,0.210,0.504,0.591,2.47
40,18,6,3,0.4,0,forced,0,oracle,500,0.574,0.010,0.000,0.004,0.023,3.00
40,18,6,3,0.4,0,forced,0,pa,500,0.496,0.010,0.000,0.004,0.023,2.90
40,18,6,3,0.4,0.4,forced,0,oracle,500,0.496,0.014,0.000,0.007,0.029,3.00
40,18,6,3,0.4,0.4,forced,0,pa,500,0.224,0.012,0.000,0.006,0.026,2.23
40,18,6,3,0.6,0,forced,0,oracle,500,1.000,0.984,0.020,0.969,0.992,3.00
40,18,6,3,0.6,0,forced,0,pa,500,0.996,0.980,0.036,0.964,0.989,3.00
40,18,6,3,0.6,0.4,forced,0,oracle,500,1.000,0.980,0.026,0.964,0.989,3.00
40,18,6,3,0.6,0.4,forced,0,pa,500,0.732,0.722,0.024,0.681,0.759,2.71
40,18,6,3,0.8,0,forced,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,18,6,3,0.8,0,forced,0,pa,500,1.000,1.000,0.998,0.992,1.000,3.00
40,18,6,3,0.8,0.4,forced,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,18,6,3,0.8,0.4,forced,0,pa,500,0.886,0.886,0.886,0.855,0.911,2.88
